# Summary generated on 2023-06-16 05:42:53.122204 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#      identifier   ;     Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20181212043626_ldgVV; 2458464.691977146082; 2018-12-12 04:36:26.825421;    -1;  ...; 259.834632;  43.941536; 111.45379;  0.1578; +30.46289;  1.1121; 108.58307;  0.2593;  +8.39870;  1.0906;  32.74624;  1.2313;  52.68006;  1.4200;  +8.46014;  1.2009;  32.50415;  0.8902;    1.190098;  0.1191;   0.883910;  0.0108;  18.054700;  3.4614; 326.339190;   0.7686; 259.828142;   0.0008; 226.167331;  0.7678;  -9.891541;    None;   0.138159;  0.0024; 213.666455;  0.7679; 330.932239;  3.7549;    2.242037;  0.2401;   0.759155;  0.0867;   1.298299;  0.2067;   4.798220;  0.3624; 110.35609;  0.1370; +30.78798;  1.0509;  74.85774;  1.2035;  35.35100;  0.4179;  34.87755;  1.1707;  32.35501;  0.9494;    35.902169;  0.0017;  -106.003998;  0.0010;  97.4423;    0.19;    35.876998;  0.0016;  -106.118177;  0.0013;  89.7756;    0.20;     0.41;  +0.05;  92.4453; 0.652; 9.74e-05; 17.98;        73.94;   True;   True;    2; US0007,US0008
20181212045037_TKUmE; 2458464.701825915836; 2018-12-12 04:50:37.759128;     4;  GEM; 259.844647;  46.901506; 110.49351;  0.2592; +34.23473;  0.4859; 107.21294;  0.2883; +12.01350;  0.4507;  34.74944;  0.2577;  54.13811;  0.1176; +12.10252;  0.4383;  34.49341;  0.3093;    1.449202;  0.0434;   0.893962;  0.0011;  26.309044;  0.9523; 321.999825;   0.7789; 259.839997;   0.0002; 221.839822;  0.7787; -15.835123;    None;   0.153671;  0.0032; 218.004200;  0.7787; 338.827593;  1.1860;    2.744734;  0.0836;   0.564951;  0.0300;   1.744593;  0.0758;   4.015101;  0.1213; 109.66078;  0.2352; +34.35339;  0.4649;  72.10816;  0.4723;  39.52818;  0.3492;  36.75966;  0.2451;  36.49456;  0.2522;    35.770005;  0.0007;  -106.598539;  0.0001; 100.3521;    0.11;    35.726664;  0.0006;  -106.762790;  0.0001;  87.3092;    0.09;     0.56;  +0.53;  90.0562; 0.789; 5.71e-05; 20.29;        51.08;   True;   True;    2; US0007,US0008
20181212045241_mLFIx; 2458464.703259997070; 2018-12-12 04:52:41.663747;     4;  GEM; 259.846105;  47.691122; 110.47480;  0.4709; +32.70937;  0.2610; 107.41794;  0.4369; +10.50136;  0.2046;  34.32978;  0.5642;  53.94302;  0.5238; +10.58088;  0.2141;  34.06992;  0.5392;    1.383576;  0.0642;   0.894437;  0.0056;  23.155746;  0.7679; 323.503663;   0.6854; 259.840818;   0.0002; 223.344481;  0.6852; -13.525793;    None;   0.146055;  0.0005; 216.500967;  0.6853; 337.317934;  2.3103;    2.621098;  0.1281;   0.605619;  0.0530;   1.627441;  0.1084;   4.185466;  0.2105; 109.63605;  0.4121; +32.84881;  0.2374;  73.67919;  0.1472;  39.41936;  0.4031;  36.36635;  0.5352;  35.26196;  0.3970;    35.054939;  0.0003;  -106.326072;  0.0006;  96.1315;    0.14;    35.023797;  0.0002;  -106.455136;  0.0001;  85.9221;    0.07;     0.45;  +1.01;  90.1893; 0.582; 3.57e-05; 28.98;        66.76;   True;   True;    2; US0002,US0008
20181212045249_Lp19O; 2458464.703349360265; 2018-12-12 04:52:49.384727;   390;  THA; 259.846196;  48.141187; 112.67991;  1.4515; +33.51750;  0.7331; 109.15598;  1.1381; +11.57569;  0.8919;  30.76217;  2.4568;  49.50459;  2.5091; +11.37213;  0.7974;  31.30093;  2.0644;    1.078974;  0.5898;   0.847370;  0.0299;  21.713467;  0.3469; 324.640703;   0.6361; 259.840561;   0.0001; 224.481265;  0.6360; -12.362705;    None;   0.164683;  0.0115; 215.364264;  0.6360; 324.214119;  7.7835;    1.993264;  1.1903;   0.879403;  0.1875;   1.120771;  1.2778;   5.272600;  0.8766; 111.46114;  1.2490; +33.71572;  0.7634;  71.88374;  1.4500;  38.55558;  0.7118;  32.99256;  2.3462;  32.41701;  1.9056;    34.749691;  0.0010;  -105.918992;  0.0083;  92.7052;    0.87;    34.703881;  0.0008;  -106.088117;  0.0042;  79.5754;    0.46;     0.70;  +0.05;  86.8841; 0.443; 1.75e-04;  8.68;        96.30;   True;   True;    2; US0002,US0008
20181212045520_ApnAP; 2458464.705099198036; 2018-12-12 04:55:20.570710;     4;  GEM; 259.847975;  48.380519; 110.84732;  0.5421; +33.13044;  0.9533; 107.67172;  0.5838; +10.96278;  0.8888;  33.42244;  0.8079;  52.77239;  0.7982; +10.95869;  0.9160;  33.43017;  0.7406;    1.296272;  0.0729;   0.881933;  0.0061;  23.049088;  2.2464; 323.344709;   1.1753; 259.842746;   0.0006; 223.187455;  1.1747; -13.517182;    None;   0.153047;  0.0026; 216.659890;  1.1747; 334.436146;  3.2792;    2.439497;  0.1435;   0.667821;  0.0738;   1.475859;  0.1182;   4.447740;  0.2817; 109.96206;  0.4703; +33.28841;  0.8994;  73.82263;  0.9415;  40.04876;  0.6593;  35.49956;  0.7637;  35.71452;  0.7014;    35.726064;  0.0008;  -106.301572;  0.0005;  95.4820;    0.13;    35.704316;  0.0011;  -106.393337;  0.0006;  88.1184;    0.17;     0.32;  +1.10;  91.8546; 0.493; 2.14e-05; 23.79;        93.47;   True;   True;    2; US0007,US0008
20181212050406_y2a5X; 2458464.711187572218; 2018-12-12 05:04:06.606240;    -1;  ...; 259.854166;  50.317429; 105.33354;  0.1544; +30.34764;  0.2336; 103.31085;  0.1585;  +7.61569;  0.2185;  43.38935;  0.1660;  61.52847;  0.0393;  +7.83612;  0.2176;  42.16969;  0.2063;   37.491719;  7.2777;   0.996999;  0.0020;  23.645328;  0.6197; 320.731893;   0.4861; 259.849067;   0.0001; 220.580960;  0.4859; -14.706029;    None;   0.112506;  0.0017; 219.272645;  0.4859; 359.866478;  0.2233;   74.870933; 14.5538;   0.004293;  0.0071; 229.563942; 52.4290;   0.519477;  0.0998; 105.14686;  0.1463; +30.39457;  0.2271;  80.21931;  0.2321;  44.31641;  0.2004;  45.05538;  0.1607;  43.86669;  0.1607;    35.646353;  0.0004;  -106.592863;  0.0001; 104.4377;    0.08;    35.621648;  0.0003;  -106.767273;  0.0001;  88.6036;    0.07;     0.60;  -0.39;  94.4644; 0.630; 1.08e-04; 22.92;        43.97;   True;   True;    2; US0007,US0008
20181212051743_KapzS; 2458464.720637927298; 2018-12-12 05:17:43.116919;     4;  GEM; 259.863775;  53.473020; 112.71832;  0.8236; +32.81755;  0.6805; 109.30003;  0.8061; +10.88940;  0.5641;  32.43506;  0.3960;  52.27635;  0.0846; +10.99662;  0.4969;  32.11805;  0.6147;    1.151551;  0.0574;   0.872962;  0.0009;  22.766699;  1.0013; 325.771695;   1.5211; 259.858498;   0.0002; 225.630194;  1.5209; -12.572391;    None;   0.146291;  0.0064; 214.233109;  1.5209; 328.880607;  2.5495;    2.156812;  0.1085;   0.797589;  0.0614;   1.235736;  0.0922;   4.942505;  0.2237; 111.86918;  0.7666; +32.95184;  0.6435;  75.21546;  0.5234;  42.34093;  0.8287;  34.55708;  0.3744;  34.01684;  0.3513;    35.400623;  0.0002;  -106.823967;  0.0001;  94.9015;    0.07;    35.383667;  0.0004;  -106.902321;  0.0003;  88.1071;    0.12;     0.32;  +0.24;  91.6470; 0.479; 3.50e-05; 28.88;        47.55;   True;   True;    2; US0007,US0008
20181212053318_DD2KF; 2458464.731467559002; 2018-12-12 05:33:18.797098;     4;  GEM; 259.874787;  57.553134; 109.37452;  0.4323; +33.66528;  0.3528; 106.35478;  0.4092; +11.32100;  0.3060;  35.15617;  0.3047;  54.27173;  0.1368; +11.32924;  0.2869;  35.12647;  0.3875;    1.561633;  0.0637;   0.900917;  0.0024;  24.877702;  0.6734; 321.119315;   0.8696; 259.869994;   0.0001; 220.989309;  0.8695; -15.311276;    None;   0.154731;  0.0032; 218.885180;  0.8695; 341.290349;  1.4645;    2.968536;  0.1242;   0.505052;  0.0370;   1.951503;  0.1153;   3.763927;  0.1541; 108.94826;  0.4041; +33.67562;  0.3376;  76.95400;  0.3545;  48.12100;  0.4137;  37.11662;  0.2902;  35.91656;  0.2798;    35.435883;  0.0003;  -106.661833;  0.0000;  95.8193;    0.11;    35.418362;  0.0003;  -106.754006;  0.0001;  86.1188;    0.09;     0.40;  +0.30;  91.3223; 0.464; 4.71e-05; 32.79;        59.89;   True;   True;    2; US0007,US0008
20181212054742_23bX8; 2458464.741463207174; 2018-12-12 05:47:42.421100;     4;  GEM; 259.884950;  61.806015; 111.15668;  0.1571; +32.21371;  0.2343; 108.06899;  0.1347; +10.09350;  0.2341;  34.47258;  0.8444;  54.60488;  1.1018; +10.27878;  0.3082;  33.85279;  0.5383;    1.352462;  0.0816;   0.898339;  0.0092;  23.012911;  1.4583; 324.898573;   0.2732; 259.879810;   0.0003; 224.778383;  0.2732; -12.991099;    None;   0.137493;  0.0051; 215.106383;  0.2732; 336.678235;  2.2912;    2.567431;  0.1679;   0.626638;  0.0518;   1.572854;  0.1452;   4.260246;  0.2263; 110.77564;  0.1589; +32.24018;  0.2229;  79.54714;  0.3499;  49.54723;  0.1287;  36.46201;  0.8045;  33.29171;  0.3858;    35.059853;  0.0009;  -106.006618;  0.0027;  95.3830;    0.32;    35.040578;  0.0002;  -106.133563;  0.0008;  81.4434;    0.09;     0.56;  +0.98;  89.4033; 0.429; 4.23e-05; 78.58;       116.48;   True;   True;    2; US0002,US0008
20181212055313_t7mX0; 2458464.745293973014; 2018-12-12 05:53:13.399268;    -1;  ...; 259.888845;  62.477153; 108.47430;  0.5567; +34.88616;  0.5851; 105.43680;  0.5422; +12.43317;  0.5230;  38.35758;  0.5596;  57.36499;  0.4079; +12.64456;  0.4983;  37.72249;  0.6190;    2.340947;  0.1896;   0.935603;  0.0053;  30.359344;  1.2487; 318.775085;   1.4108; 259.885015;   0.0002; 218.660100;  1.4107; -19.455900;    None;   0.150751;  0.0057; 221.228716;  1.4107; 350.353058;  2.0359;    4.531144;  0.3748;   0.275180;  0.0546;   3.581691;  0.3978;   2.631780;  0.2630; 108.35067;  0.5256; +34.81671;  0.5665;  77.37415;  0.7176;  52.84965;  0.5641;  40.15742;  0.5362;  36.30870;  0.4194;    35.563532;  0.0008;  -106.714437;  0.0001;  96.2373;    0.17;    35.549496;  0.0003;  -106.791083;  0.0001;  86.7260;    0.06;     0.32;  +0.42;  89.8052; 0.676; 3.10e-05; 27.50;        62.15;   True;   True;    2; US0007,US0008
