# Summary generated on 2023-06-16 05:42:30.088691 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#      identifier   ;     Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20181214095416_4zhsO; 2458466.912691772450; 2018-12-14 09:54:16.569140;     4;  GEM; 262.093058; 124.062425; 114.43445;  0.8134; +32.67379;  0.2590; 110.77442;  0.6592; +10.98140;  0.3428;  33.00079;  0.8204;  54.88547;  0.7735; +11.05589;  0.3391;  32.77769;  0.7885;    1.218526;  0.1146;   0.877856;  0.0101;  23.141672;  0.3970; 324.661943;   0.7078; 262.090147;   0.0001; 226.752090;  0.7078; -13.139018;    None;   0.148836;  0.0019; 215.342783;  0.7078; 331.721635;  3.3022;    2.288216;  0.2308;   0.732744;  0.0763;   1.345095;  0.2030;   4.697143;  0.3151; 115.72749;  0.8242; +32.74343;  0.2501; 255.69536;  1.1278;  82.77150;  0.7015;  34.76869;  0.7802;  34.58260;  0.6896;    34.815753;  0.0003;  -107.528393;  0.0012;  96.8235;    0.13;    34.819510;  0.0002;  -107.510523;  0.0012;  83.3455;    0.13;     0.39;  +0.54;  91.2000; 0.417; 5.11e-05; 24.74;        63.39;   True;   True;    2; US0002,US0009
20181214095647_Aclh8; 2458466.914442347363; 2018-12-14 09:56:47.818812;     4;  GEM; 262.094840; 124.575940; 113.13618;  0.7704; +33.09257;  0.4986; 109.60856;  0.5880; +11.21632;  0.5835;  33.02722;  0.8332;  54.22889;  0.8155; +11.10894;  0.5578;  33.33893;  0.7682;    1.283968;  0.1489;   0.875194;  0.0115;  22.789041;  0.5629; 322.547721;   0.4804; 262.091862;   0.0001; 224.639584;  0.4805; -13.623525;    None;   0.160247;  0.0040; 217.457081;  0.4804; 333.792263;  3.0603;    2.407688;  0.3011;   0.677444;  0.0722;   1.454895;  0.2824;   4.496337;  0.3173; 114.47930;  0.7884; +33.16383;  0.4854; 262.86696;  1.6688;  81.49489;  0.7549;  34.78393;  0.7937;  33.77239;  0.6955;    34.638578;  0.0005;  -107.645238;  0.0012;  95.9549;    0.12;    34.640659;  0.0005;  -107.625113;  0.0013;  83.3464;    0.13;     0.41;  +0.17;  90.4242; 0.439; 6.66e-05; 17.40;        74.09;   True;   True;    2; US0002,US0009
20181214100035_vvokK; 2458466.917082195636; 2018-12-14 10:00:35.901703;    -1;  ...; 262.097525; 125.580014; 107.82092;  0.2917; +29.39589;  0.1864; 105.58065;  0.2443;  +6.91696;  0.2007;  40.60696;  0.3744;  61.19356;  0.2488;  +7.00760;  0.1976;  40.07884;  0.3756;    4.523870;  0.6862;   0.972408;  0.0045;  19.012061;  0.3069; 320.464596;   0.3773; 262.093642;   0.0001; 222.558238;  0.3772; -11.968196;    None;   0.124823;  0.0018; 219.541072;  0.3772; 356.656176;  0.8120;    8.922916;  1.3728;   0.102433;  0.0239;   9.622009;  2.2144;   1.561679;  0.1762; 108.99516;  0.2981; +29.55208;  0.1843; 254.18116;  0.5742;  75.04408;  0.2729;  41.99876;  0.3610;  40.32343;  0.3494;    34.773631;  0.0003;  -107.591529;  0.0008;  96.8379;    0.09;    34.783847;  0.0003;  -107.547825;  0.0012;  81.0646;    0.12;     0.44;  +0.07;  85.7034; 0.706; 5.85e-05; 27.14;        79.72;   True;   True;    2; US0002,US0009
20181214100219_zcUeo; 2458466.918286966160; 2018-12-14 10:02:19.993876;     4;  GEM; 262.098750; 126.364793; 113.66657;  0.8582; +32.60730;  0.7748; 110.13615;  0.5916; +10.80908;  0.8827;  33.92309;  1.3869;  55.85273;  1.8793; +10.91021;  0.7414;  33.60890;  1.0081;    1.318453;  0.1115;   0.888817;  0.0205;  23.553107;  0.2426; 323.967009;   0.1751; 262.096013;   0.0000; 226.063023;  0.1751; -13.595422;    None;   0.146590;  0.0107; 216.037611;  0.1751; 335.375889;  4.9430;    2.490317;  0.2334;   0.651040;  0.0997;   1.513902;  0.1862;   4.370134;  0.3983; 114.99908;  0.9007; +32.69463;  0.7526; 261.70126;  3.7796;  80.35158;  0.8458;  35.62677;  1.3121;  33.94633;  1.3139;    34.618205;  0.0009;  -107.245848;  0.0019;  97.3329;    0.38;    34.621138;  0.0007;  -107.221578;  0.0015;  83.8855;    0.29;     0.40;  +0.85;  90.1266; 0.536; 3.81e-05; 19.73;        75.11;   True;   True;    2; US0002,US0009
20181214102638_k1j78; 2458466.935170208104; 2018-12-14 10:26:38.705980;     4;  GEM; 262.115923; 131.812440; 112.23413;  0.9092; +31.27639;  0.8800; 109.12997;  0.6680;  +9.30334;  0.9802;  33.61072;  1.1185;  55.05646;  1.0599;  +9.24067;  0.9566;  33.83253;  1.0039;    1.348669;  0.2527;   0.888349;  0.0147;  19.680919;  1.4989; 323.184892;   0.2953; 262.112508;   0.0006; 225.297400;  0.2957; -11.642898;    None;   0.150580;  0.0059; 216.820477;  0.2957; 336.190524;  3.7074;    2.546757;  0.5112;   0.629284;  0.0914;   1.566241;  0.5102;   4.299001;  0.4261; 113.71114;  0.9485; +31.45043;  0.8651; 264.27986;  1.7359;  74.55101;  1.0442;  35.29069;  1.0682;  34.59718;  0.8893;    34.337600;  0.0015;  -107.889836;  0.0027;  97.8474;    0.21;    34.345174;  0.0029;  -107.798249;  0.0064;  66.8714;    0.42;     0.97;  -0.81;  88.5249; 0.301; 3.44e-04; 10.61;        72.41;   True;   True;    2; US0002,US0009
20181214103238_xhH2E; 2458466.939336002339; 2018-12-14 10:32:38.630602;    -1;  ...; 262.120160; 133.728317; 114.71239;  0.9222; +34.55970;  1.7211; 110.68166;  0.4273; +12.87929;  1.8249;  31.74816;  1.3431;  52.66178;  2.4575; +12.68549;  1.3888;  32.22202;  0.7255;    1.160912;  0.0567;   0.853220;  0.0291;  24.595142;  0.7730; 322.758279;   0.8918; 262.117938;   0.0001; 224.876217;  0.8917; -14.588654;    None;   0.170398;  0.0199; 217.246019;  0.8917; 328.369870;  4.8465;    2.151425;  0.1331;   0.787963;  0.0729;   1.250833;  0.0877;   4.930875;  0.2803; 116.31790;  1.0123; +34.66056;  1.6576; 276.18424;  7.2124;  75.66712;  0.5579;  33.53382;  1.2564;  33.27408;  1.2040;    34.350820;  0.0018;  -107.479789;  0.0026; 100.5790;    0.39;    34.345739;  0.0027;  -107.423443;  0.0038;  79.9060;    0.47;     0.65;  -0.09;  94.4271; 0.298; 1.56e-04;  7.15;        52.33;   True;   True;    2; US0002,US0009
20181214103847_UFWaQ; 2458466.943610189948; 2018-12-14 10:38:47.920412;    -1;  ...; 262.124507; 135.203520; 112.71875;  1.4796; +31.75614;  0.4103; 109.46890;  1.3084;  +9.84107;  0.3036;  39.10411;  2.0206;  62.07438;  1.8835; +10.33889;  0.3166;  37.23655;  1.8767;    2.133213;  0.3311;   0.946758;  0.0193;  28.019968;  1.9856; 324.987246;   1.6049; 262.122949;   0.0003; 227.110195;  1.6046; -15.636894;    None;   0.113577;  0.0031; 215.016451;  1.6047; 349.283133;  7.4365;    4.152849;  0.6647;   0.316339;  0.1790;   3.115673;  0.6294;   2.803558;  0.7593; 114.02578;  1.5282; +31.92100;  0.4012; 265.33125;  2.4807;  72.08220;  1.1302;  40.52672;  1.9287;  39.39491;  1.9021;    35.253365;  0.0006;  -107.548083;  0.0026; 107.7641;    0.32;    35.256231;  0.0004;  -107.505209;  0.0025;  95.4693;    0.29;     0.32;  +0.34; 102.8299; 0.401; 3.30e-05; 18.15;        83.55;   True;   True;    2; US0002,US0007
20181214104638_CME4J; 2458466.949062481057; 2018-12-14 10:46:38.998363;     4;  GEM; 262.130053; 137.251082; 114.45273;  0.6114; +33.22736;  0.7577; 110.69511;  0.4125; +11.52970;  0.8228;  31.66932;  1.9351;  52.79825;  2.5315; +11.36932;  0.6442;  32.10671;  1.3136;    1.149744;  0.2084;   0.857926;  0.0253;  22.318497;  0.7118; 323.734355;   0.6572; 262.127573;   0.0001; 225.861928;  0.6573; -12.981493;    None;   0.163349;  0.0153; 216.270225;  0.6573; 328.111274;  5.7809;    2.136139;  0.4312;   0.799471;  0.1263;   1.232828;  0.3809;   4.973249;  0.5461; 116.12283;  0.6987; +33.41109;  0.7528; 271.81777;  1.8619;  72.47994;  0.7005;  33.43987;  1.8411;  32.53500;  1.3951;    34.694110;  0.0006;  -107.469028;  0.0014;  96.7605;    0.16;    34.693163;  0.0007;  -107.433191;  0.0020;  86.1875;    0.28;     0.34;  +1.38;  92.7572; 0.379; 1.96e-05; 25.42;       107.51;   True;   True;    2; US0002,US0009
20181214105541_qzLPD; 2458466.955339186359; 2018-12-14 10:55:41.305701;   644;  JLL; 262.136437; 139.444517; 112.78098;  0.4017; +29.76316;  0.9608; 109.83639;  0.2183;  +7.88070;  1.0013;  36.26763;  1.8748;  59.17329;  1.9707;  +8.14268;  0.9960;  35.10361;  1.3885;    1.555907;  1.2451;   0.923900;  0.0161;  20.142415;  1.1534; 326.298454;   1.2762; 262.133539;   0.0004; 228.431994;  1.2759; -11.015297;    None;   0.118405;  0.0132; 213.706557;  1.2759; 341.999384;  3.9746;    2.993408;  2.5004;   0.507843;  0.1103;   1.940778;  3.9034;   3.737687;  0.6406; 114.24594;  0.4707; +30.00655;  0.9631; 265.24322;  1.8381;  68.28647;  0.7216;  37.78315;  1.8066;  37.24377;  1.5669;    34.439007;  0.0012;  -107.541256;  0.0023;  97.2169;    0.30;    34.442691;  0.0014;  -107.487684;  0.0026;  84.6335;    0.31;     0.36;  +1.17;  93.0787; 0.329; 2.00e-05; 10.77;        36.11;   True;   True;    2; US0002,US0009
20181214110754_a8BrV; 2458466.963825717568; 2018-12-14 11:07:54.541998;     4;  GEM; 262.145070; 142.485691; 113.89901;  0.3488; +32.28847;  0.2494; 110.38602;  0.2617; +10.52655;  0.2882;  33.95439;  0.8897;  56.10604;  1.1307; +10.66346;  0.2203;  33.51981;  0.6325;    1.306795;  0.0873;   0.890525;  0.0113;  23.217299;  0.4792; 324.532231;   0.2315; 262.143016;   0.0001; 226.675248;  0.2316; -13.223125;    None;   0.143062;  0.0061; 215.472026;  0.2316; 335.110896;  2.7957;    2.470528;  0.1804;   0.659771;  0.0615;   1.493867;  0.1523;   4.401479;  0.2592; 115.54322;  0.3903; +32.53526;  0.2504; 271.97526;  0.4494;  67.52910;  0.3563;  35.57259;  0.8460;  34.51253;  0.7025;    34.770956;  0.0006;  -107.563373;  0.0027;  98.6023;    0.30;    34.768146;  0.0003;  -107.466171;  0.0018;  76.8059;    0.20;     0.68;  -0.09;  84.3007; 0.656; 1.60e-04; 32.10;       131.06;   True;   True;    2; US0002,US0009
