# Summary generated on 2023-06-16 05:31:36.460067 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#      identifier   ;     Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20190306033253_Imv06; 2458548.647837232333; 2019-03-06 03:32:53.136874;    -1;  ...; 345.008623; 109.609529; 107.11884;  2.0304; +42.33661;  1.1925; 103.36180;  1.5139; +19.68968;  1.3126;   8.63635;  0.6139;  80.26400;  0.3248;  +4.45186;  0.3600;  37.46033;  0.6014;    2.302405;  0.2857;   0.574086;  0.0500;   4.470580;  0.3630; 194.396468;   0.8140; 345.008109;   0.0002; 179.404577;  0.8140;  -1.110463;    None;   0.980628;  0.0011; 345.601957;  0.8140; 356.785465;  0.6629;    3.624183;  0.5714;   0.282119;  0.0492;   3.493601;  0.6651;   3.346269;  0.2476; 109.99694;  1.6957; +40.79733;  0.9305;   2.71960; 13.8154;  83.80691;  0.7212;  14.07574;  0.3719;  11.77191;  0.2418;    34.611952;  0.0002;  -107.195766;  0.0005;  76.7576;    0.05;    34.607779;  0.0004;  -107.196295;  0.0008;  72.4371;    0.12;     0.38;  +2.94;  75.2274; 0.354; 3.90e-05; 80.99;        78.17;   True;   True;    2; US0003,US0009
20190306035740_Y3KqS; 2458548.665051730815; 2019-03-06 03:57:40.469542;    -1;  ...; 345.025871; 116.328888; 151.53821;  1.3887;  +0.08174;  0.5722; 153.52616;  1.5271; -10.85058;  0.0924;  14.21258;  0.7137;  96.99356;  0.5331;  -4.32716;  0.1095;  35.48744;  0.7389;    1.676329;  0.2356;   0.531626;  0.0463;   4.664622;  0.1365;  66.470386;   2.3072; 165.021878;   0.0001; 231.492264;  2.3071;   4.276022;    None;   0.785149;  0.0031; 293.531666;  2.3071; 339.676998;  3.5044;    2.567508;  0.4683;   0.454115;  0.0646;   2.170398;  0.5015;   4.062775;  0.2998; 149.40245;  1.0703;  +3.99186;  0.2512; 127.60203;  0.9995;  46.59662;  0.8490;  18.24822;  0.5742;  16.61255;  0.4739;    34.748584;  0.0010;  -106.690155;  0.0000;  86.5354;    0.26;    34.793631;  0.0007;  -106.761325;  0.0002;  77.7689;    0.19;     0.72;  +1.82;  84.0316; 0.286; 1.04e-04;  7.42;        56.70;   True;   True;    2; US0002,US000D
20190306042823_dT9CN; 2458548.686381973792; 2019-03-06 04:28:23.402536;    -1;  ...; 345.047242; 123.468999; 128.72912;  0.2460; -28.43762;  0.2995; 141.34938;  0.4310; -45.21554;  0.2092;  16.35448;  0.0523;  91.30435;  0.0322; -17.82414;  0.0707;  37.92879;  0.1064;    2.534956;  0.0625;   0.644361;  0.0080;  18.517013;  0.0737;  39.893200;   0.3024; 165.044804;   0.0000; 204.938004;  0.3024;  11.752628;    None;   0.901530;  0.0007; 320.107493;  0.3024; 352.957359;  0.3004;    4.168382;  0.1243;   0.244202;  0.0084;   4.036048;  0.1516;   3.065168;  0.0443; 129.57975;  0.2199; -22.56228;  0.2423; 173.31646;  0.2148;  32.36720;  0.2589;  19.80246;  0.0433;  19.55448;  0.0554;    34.778345;  0.0002;  -107.250435;  0.0003;  93.6887;    0.08;    34.931048;  0.0001;  -107.272190;  0.0004;  82.7552;    0.06;     1.04;  +1.29;  87.7681; 0.542; 1.57e-04; 32.84;        90.26;   True;   True;    4; US0001,US0002,US0003,US000D
20190306050452_dLAg6; 2458548.711716017220; 2019-03-06 05:04:52.263888;    -1;  ...; 345.072624; 133.029577; 165.39939;  0.9668; +10.13795;  1.5109; 162.64623;  1.4645;  +3.60034;  1.0293;  20.71321;  0.2425; 108.25513;  0.1681;  +2.01389;  0.5765;  36.95427;  0.5621;    2.097647;  0.1478;   0.702775;  0.0195;   2.405686;  0.6336; 264.261132;  33.1210; 345.078962;  33.1181; 249.340094;  3.0193;  -2.393622;    None;   0.623473;  0.0140; 275.730999;  3.0193; 345.223846;  2.9124;    3.571820;  0.2818;   0.324419;  0.0504;   3.038080;  0.2992;   3.383518;  0.2218; 164.75576;  0.8669; +11.63609;  1.3599; 121.73902;  0.5624;  52.72638;  1.5770;  23.70046;  0.2126;  23.62463;  0.2914;    35.432728;  0.0004;  -106.842455;  0.0004;  86.3516;    0.09;    35.451862;  0.0004;  -106.880264;  0.0004;  80.9815;    0.08;     0.32;  +1.04;  83.2617; 0.575; 4.93e-05; 22.40;        63.85;   True;   True;    2; US0007,US0008
20190306052529_K63WR; 2458548.726036909502; 2019-03-06 05:25:29.588981;    -1;  ...; 345.086971; 137.342107; 174.32105;  0.7549;  +7.13445;  0.4436; 171.95912;  0.8394;  +4.29528;  0.2346;  25.65400;  0.1439; 117.86420;  0.2000;  +2.98983;  0.1583;  36.79779;  0.3856;    2.041974;  0.1966;   0.776388;  0.0117;   4.069957;  0.2119; 283.580045;   1.8033; 345.090339;   0.0002; 268.670384;  1.8033;  -3.955988;    None;   0.456609;  0.0096; 256.415175;  1.8033; 344.803657;  1.4910;    3.627339;  0.3836;   0.337776;  0.0312;   2.917937;  0.4651;   3.336225;  0.1598; 173.84374;  0.7109;  +8.26215;  0.4089; 119.44759;  0.4786;  47.46752;  0.7555;  28.18041;  0.1323;  27.81266;  0.0592;    34.515169;  0.0002;  -107.691558;  0.0005;  97.4454;    0.05;    34.547480;  0.0002;  -107.760833;  0.0007;  89.3848;    0.05;     0.40;  +2.35;  91.7436; 0.707; 1.43e-05; 36.71;        61.28;   True;   True;    2; US0003,US0009
20190306052833_IoAMk; 2458548.728170306422; 2019-03-06 05:28:33.914475;    -1;  ...; 345.089109; 138.775398; 173.99343;  2.0802; +54.50586;  0.6619; 146.68046;  0.8455; +46.28892;  1.2284;  17.50337;  0.3411;  93.14373;  0.4035; +19.55860;  0.5461;  37.78689;  0.3108;    2.459646;  0.1377;   0.641061;  0.0241;  20.489202;  0.5599; 224.083781;   0.2319; 345.088690;   0.0000; 209.172471;  0.2319; -14.094374;    None;   0.882863;  0.0023; 315.915221;  0.2319; 351.983880;  0.9304;    4.036429;  0.2775;   0.255503;  0.0256;   3.857532;  0.3133;   3.104362;  0.1296; 171.90826;  1.7549; +52.82420;  0.6416;  41.66536;  0.3689;  60.20978;  1.2107;  20.85908;  0.2877;  20.49267;  0.2776;    34.426987;  0.0003;  -107.028955;  0.0002;  82.2823;    0.06;    34.409794;  0.0002;  -107.047415;  0.0001;  77.7688;    0.07;     0.25;  +2.28;  81.4886; 0.176; 1.42e-05; 64.92;        73.88;  False;   True;    2; US0003,US0009
20190306054735_eBQJh; 2458548.741387237329; 2019-03-06 05:47:35.857305;    -1;  ...; 345.102351; 144.578709; 150.17009;  0.7659; +30.61986;  0.7056; 141.42903;  0.4041; +17.28056;  0.8912;  14.63099;  0.3405;  94.21871;  0.4014;  +6.56902;  0.4302;  37.97270;  0.1494;    2.559603;  0.0722;   0.664246;  0.0125;   6.948653;  0.4655; 228.311897;   0.4424; 345.104934;   0.0004; 213.416831;  0.4421;  -5.183446;    None;   0.859396;  0.0036; 311.684308;  0.4421; 351.955593;  0.3929;    4.259810;  0.1479;   0.240683;  0.0121;   4.095054;  0.1676;   3.074000;  0.0649; 151.26537;  0.6848; +30.96975;  0.5983; 127.52832;  6.8800;  82.76767;  0.2936;  18.40645;  0.2655;  15.56635;  0.1906;    35.562895;  0.0008;  -105.996720;  0.0011;  85.6828;    0.10;    35.573490;  0.0006;  -106.014274;  0.0008;  70.3033;    0.06;     1.01;  +0.34;  80.3889; 0.344; 4.48e-04; 14.85;        70.19;   True;   True;    2; US0007,US0008
20190306060900_fXFPK; 2458548.756252815016; 2019-03-06 06:09:00.243217;    -1;  ...; 345.117244; 148.191732; 144.39586;  1.3818; +25.17877;  0.4325; 138.42885;  1.1422; +10.41522;  0.6845;  14.50573;  0.3777;  93.77641;  0.1744;  +3.89724;  0.1971;  38.55212;  0.4717;    2.935185;  0.4310;   0.703925;  0.0354;   4.112607;  0.2037; 225.576523;   1.1322; 345.122351;   0.0003; 210.698874;  1.1320;  -2.935929;    None;   0.869035;  0.0027; 314.417294;  1.1320; 353.838518;  1.2276;    5.001336;  0.8599;   0.195998;  0.0343;   5.028679;  1.1758;   2.837142;  0.2022; 146.37279;  1.2906; +26.02013;  0.3994; 191.63420;  6.8651;  81.86860;  0.7257;  18.25474;  0.3003;  17.10552;  0.3418;    33.997951;  0.0002;  -107.750026;  0.0006;  89.7570;    0.07;    34.006417;  0.0003;  -107.748038;  0.0010;  82.9582;    0.10;     0.40;  +1.97;  86.7343; 0.445; 4.42e-05; 45.54;        90.27;   True;   True;    2; US0003,US0009
20190306061227_iEYEo; 2458548.758655828889; 2019-03-06 06:12:27.863616;    -1;  ...; 345.119652; 149.139915; 193.42375;  1.1672; +19.82650;  0.4190; 184.09222;  1.2684; +23.45657;  0.1812;  43.97620;  0.0613; 140.95707;  0.8348; +22.95190;  0.4258;  44.88386;  0.5988;   -3.924354;  1.8379;   1.080507;  0.0206;  45.974508;  1.5187; 288.195331;   1.9957; 345.119091;   0.0000; 273.314422;  1.9957; -43.084587;    None;   0.315939;  0.0104; 251.803981;  1.9957;        nan;     nan;   -8.164646;  3.6664;   0.126780;  0.0407;        nan;     nan;  -0.832168;  0.2886; 193.42227;  1.1417; +19.94477;  0.4062;  99.23475;  0.3983;  48.32254;  1.1239;  45.60885;  0.0595;  39.93686;  0.0546;    35.010253;  0.0001;  -107.669017;  0.0009;  97.9775;    0.08;    35.017934;  0.0001;  -107.726557;  0.0007;  91.9189;    0.06;     0.20;  +1.75;  94.3621; 0.597; 4.46e-06; 44.28;        62.36;   True;   True;    2; US0001,US0003
20190306061428_hnhTJ; 2458548.760053628124; 2019-03-06 06:14:28.633470;    -1;  ...; 345.121052; 150.824555; 255.34764;  1.1266; +44.35679;  1.4513; 243.10632;  3.1943; +66.43187;  1.1624;  38.05161;  1.4135;  85.32012;  2.0285; +66.18122;  0.2000;  38.12247;  1.7274;    2.646716; 10.9442;   0.627670;  0.1592;  66.516616;  0.3272; 190.644073;   0.8452; 345.120297;   0.0000; 175.764371;  0.8452;  -9.753466;    None;   0.985451;  0.0020; 349.355331;  0.8452; 358.095981;     nan;    4.307980; 21.8887;   0.228899;  0.0610;   4.305876;     nan;   2.408758;  0.8296; 253.31072;  1.0272; +44.93806;  1.3616;  46.21693;  0.9041;  16.80617;  1.2717;  39.90102;  1.3640;  39.16955;  1.2209;    35.806044;  0.0027;  -106.490711;  0.0007; 102.2048;    0.42;    35.693534;  0.0022;  -106.634587;  0.0004;  96.7024;    0.26;     0.50;  +1.97;  99.6354; 0.467; 9.87e-06; 18.23;       154.87;   True;   True;    2; US0007,US0008
